[0, 0, 0, -65268939, -203990995078]:5904:5904.o2:[0, 0, 2, -2, 4, 4, 2, 0, 4, 0, -4, 2, 1, 12, -2, 4, -4, 10, 8, -10, -2, 14, -12, -10, -18]:
[1, 0, 0, -394650, -95458872]:6258:6258.t1:[1, 1, 1, 1, 2, -6, 3, -5, 4, 10, 7, -7, 2, 4, 8, -6, 15, 12, 8, 12, -16, -15, -1, 10, 13]:
[1, -1, 0, -8502921, -9541213106]:6471:6471.c1:[1, 0, 2, 0, 0, -6, -4, 2, 4, 6, -4, -2, 0, 10, 12, -4, 4, 14, -2, 12, -2, 2, 4, 4, 14]:
[1, -1, 0, -531306, -149056313]:6471:6471.c2:[1, 0, 2, 0, 0, -6, -4, 2, 4, 6, -4, -2, 0, 10, 12, -4, 4, 14, -2, 12, -2, 2, 4, 4, 14]:
[1, -1, 1, -227498, -46176001]:6498:6498.y1:[1, 0, 4, 3, -2, 1, -3, 0, 1, -5, 8, 2, -8, 4, -8, -1, 15, 2, -3, 2, 9, 10, 6, 0, 2]:
[0, 0, 0, -4717575, -3943903986]:6516:6516.d1:[0, 0, 0, 4, 0, 2, -4, 0, 4, 0, 4, 6, -4, 8, 12, -12, 0, -2, 0, -12, 6, 12, 12, 4, 14]:
[0, 0, 0, -294840, -61627203]:6516:6516.d2:[0, 0, 0, 4, 0, 2, -4, 0, 4, 0, 4, 6, -4, 8, 12, -12, 0, -2, 0, -12, 6, 12, 12, 4, 14]:
[1, -1, 0, -202951, -34841040]:6727:6727.b1:[1, 0, 2, -1, 6, 6, -6, 0, 6, 0, 0, 0, 10, -6, -4, -12, 4, 6, 12, -8, -6, 6, 12, -6, -10]:
[1, -1, 0, -53996, -84979293]:6727:6727.b2:[1, 0, 2, -1, 6, 6, -6, 0, 6, 0, 0, 0, 10, -6, -4, -12, 4, 6, 12, -8, -6, 6, 12, -6, -10]:
[1, 0, 1, -83567088, 287037688894]:7014:7014.k1:[-1, 1, 1, -1, 6, -2, 4, -4, -6, 9, -5, 3, 8, -10, 2, -6, 8, 13, 10, 14, 7, 17, -14, -1, -2]:
[0, -1, 0, -65205, -6387007]:7084:7084.j1:[0, 2, 1, 1, -1, 2, 4, -2, 1, 8, -2, -2, -5, 9, 6, 12, -6, 12, 16, 7, -13, 15, -2, -3, 2]:
[0, -1, 0, -11668321, -15337479167]:7104:7104.m1:[0, -1, 4, -3, 5, -3, 3, -7, -9, 0, 2, -1, 6, 4, 10, -3, -4, 2, 6, 12, 13, 6, 5, 11, 6]:
[1, 0, 0, -49824480, -135370987434]:7518:7518.e1:[1, 1, -4, 1, -3, 4, 3, 0, -6, 0, -3, 3, -8, 4, 3, 9, 0, 2, -2, -8, 14, 10, -6, 15, -12]:
[1, 1, 0, -377521, -421064363]:8526:8526.f1:[-1, -1, 3, 0, 6, 4, -3, 1, 0, -1, 4, -1, 9, -7, 3, -6, -3, 10, -4, 12, -2, 14, 0, 6, -8]:
[1, 1, 0, 3373184, 10914316288]:8526:8526.f2:[-1, -1, 3, 0, 6, 4, -3, 1, 0, -1, 4, -1, 9, -7, 3, -6, -3, 10, -4, 12, -2, 14, 0, 6, -8]:
[0, 0, 0, -1632306819, -25383459170018]:8568:8568.j1:[0, 0, 2, -1, 0, 2, -1, 0, 0, -2, 8, -6, 6, 4, 0, -14, 8, 14, 4, -8, 10, 8, 16, -2, 2]:
[0, 0, 0, -102281619, -394473389042]:8568:8568.j2:[0, 0, 2, -1, 0, 2, -1, 0, 0, -2, 8, -6, 6, 4, 0, -14, 8, 14, 4, -8, 10, 8, 16, -2, 2]:
[0, 0, 0, -102019179, -396616526570]:8568:8568.j3:[0, 0, 2, -1, 0, 2, -1, 0, 0, -2, 8, -6, 6, 4, 0, -14, 8, 14, 4, -8, 10, 8, 16, -2, 2]:
[0, 0, 0, -6359799, -6230596790]:8568:8568.j4:[0, 0, 2, -1, 0, 2, -1, 0, 0, -2, 8, -6, 6, 4, 0, -14, 8, 14, 4, -8, 10, 8, 16, -2, 2]:
[1, -1, 0, -20911198, -36800704492]:8866:8866.g1:[-1, 3, 3, -3, 1, -1, -5, 4, 0, 4, -1, -1, 0, -1, 3, 6, 10, 12, 4, 5, 0, 10, 4, 16, 0]:
[0, 0, 0, -26667819, 156707071578]:9936:9936.bp1:[0, 0, 2, 3, -3, 4, 2, 2, 1, 1, -10, 2, 4, -8, 13, 8, 10, 5, -8, 9, -6, 16, -8, -9, 16]:
[0, 1, 0, -45655996, -120108946748]:10252:10252.e1:[0, 1, 4, 2, -1, 3, 6, -6, 4, -7, -2, -1, 0, 11, 7, 8, 3, -4, 13, -6, -4, 9, -1, 5, 0]:
[0, 0, 0, 97700, -297725608]:10304:10304.bk1:[0, 3, 0, -1, 6, -1, 0, 0, 1, 3, -3, 8, 9, -4, 13, -4, -4, -2, 4, -5, 3, 12, -16, 4, -6]:
[1, 1, 1, -16932021275, -848037278203287]:10498:10498.b1:[1, -1, 1, 5, 4, 6, -6, 0, -3, -1, -10, 8, 9, -4, 6, 10, 0, -1, -12, 9, 4, 15, 11, -3, -2]:
[0, 0, 0, -114244, -14851720]:10816:10816.bn1:[0, 3, 2, 1, 5, 0, 3, 3, 1, 1, -8, 3, -3, 1, 4, 6, -5, 5, -7, -11, -14, 4, -12, 9, 1]:
